,TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
84,154.71,1.0,36.0,2.0,34.0,0.0,157.0,1.0,1523.72,0
86,24.56,1.0,23.0,1.0,64.0,0.0,69.0,1.0,9869.93,2
87,568.07,1.0,42.0,0.0,48.0,0.0,115.0,1.0,10556.81,2
88,9.61,0.0,36.0,2.0,58.0,0.0,179.0,1.0,12883.91,2
89,392.96,1.0,18.0,2.0,24.0,3.0,100.0,1.0,791.65,0
90,716.93,0.0,25.0,2.0,60.0,2.0,34.0,1.0,4064.02,1
91,223.85,1.0,18.0,0.0,53.0,1.0,55.0,4.0,2929.91,0
92,230.66,1.0,15.0,1.0,21.0,3.0,135.0,1.0,618.05,0
93,442.12,1.0,20.0,2.0,19.0,3.0,260.0,1.0,1375.8,0
94,644.17,1.0,35.0,0.0,29.0,1.0,72.0,1.0,1143.52,0
95,508.68,0.0,23.0,1.0,51.0,1.0,127.0,1.0,7708.41,1
96,858.63,0.0,37.0,1.0,27.0,3.0,185.0,1.0,1872.96,0
97,25.36,1.0,21.0,0.0,57.0,1.0,78.0,1.0,201.04,0
98,147.62,1.0,5.0,1.0,71.0,2.0,133.0,1.0,2115.8,0
99,115.02,1.0,35.0,1.0,37.0,0.0,175.0,1.0,7643.66,1
100,383.37,1.0,13.0,1.0,30.0,1.0,24.0,1.0,8901.93,1
101,98.54,0.0,12.0,2.0,20.0,3.0,167.0,1.0,9383.43,2
102,83.24,0.0,13.0,1.0,55.0,0.0,164.0,1.0,1181.31,0
103,196.16,1.0,41.0,1.0,27.0,1.0,146.0,1.0,9418.86,2
104,129.94,1.0,19.0,0.0,32.0,1.0,235.0,1.0,7954.92,1
105,306.9,1.0,7.0,2.0,46.0,1.0,51.0,1.0,9418.08,2
106,114.98,1.0,39.0,2.0,59.0,2.0,80.0,1.0,6144.68,1
107,756.59,1.0,34.0,1.0,27.0,3.0,17.0,1.0,420.65,0
108,503.76,1.0,20.0,2.0,22.0,3.0,35.0,1.0,447.82,0
109,143.03,1.0,35.0,0.0,63.0,2.0,147.0,1.0,7981.45,1
111,245.54,1.0,27.0,0.0,25.0,3.0,180.0,1.0,985.06,0
112,254.37,0.0,9.0,2.0,51.0,1.0,174.0,1.0,8849.26,1
113,213.76,0.0,9.0,0.0,78.0,2.0,282.0,1.0,3528.72,0
114,327.86,1.0,14.0,2.0,40.0,1.0,104.0,1.0,480.16,0
115,2.5,1.0,36.0,2.0,47.0,0.0,107.0,1.0,12145.27,2
116,300.08,0.0,2.0,2.0,68.0,0.0,47.0,1.0,13546.75,2
117,56.98,0.0,28.0,0.0,43.0,1.0,122.0,2.0,5688.37,1
118,407.65,1.0,4.0,2.0,26.0,1.0,62.0,1.0,8346.64,1
119,115.83,1.0,14.0,1.0,39.0,1.0,167.0,1.0,6481.04,1
120,53.57,1.0,15.0,0.0,69.0,2.0,121.0,1.0,1651.33,0
121,63.34,0.0,11.0,2.0,46.0,0.0,165.0,1.0,11174.94,2
122,317.87,1.0,11.0,2.0,27.0,3.0,91.0,1.0,145.5,0
123,331.65,1.0,32.0,2.0,41.0,1.0,61.0,1.0,4172.57,1
124,5.04,1.0,42.0,0.0,56.0,2.0,41.0,1.0,5558.36,1
125,214.54,0.0,11.0,2.0,70.0,0.0,247.0,1.0,11151.53,2
126,598.81,1.0,30.0,1.0,57.0,0.0,158.0,1.0,1415.52,0
127,841.28,1.0,40.0,2.0,26.0,3.0,80.0,1.0,1103.64,0
128,38.15,1.0,23.0,2.0,26.0,3.0,108.0,1.0,303.68,0
130,124.72,1.0,28.0,1.0,33.0,1.0,105.0,1.0,6309.8,1
131,302.45,0.0,35.0,1.0,78.0,2.0,40.0,1.0,5133.61,1
132,208.04,1.0,21.0,2.0,47.0,1.0,273.0,1.0,9344.98,2
133,5.77,0.0,20.0,1.0,23.0,3.0,254.0,1.0,1117.97,0
134,381.33,1.0,0.0,0.0,56.0,0.0,75.0,1.0,11835.35,2
135,16.16,1.0,25.0,0.0,50.0,0.0,124.0,1.0,14401.17,2
136,486.08,1.0,28.0,2.0,18.0,3.0,68.0,1.0,1748.69,0
137,336.39,1.0,35.0,1.0,21.0,3.0,18.0,1.0,1000.46,0
139,234.57,1.0,6.0,2.0,23.0,3.0,120.0,1.0,263.98,0
140,6.0,1.0,6.0,2.0,30.0,0.0,246.0,1.0,5442.76,1
142,227.14,1.0,5.0,0.0,18.0,3.0,294.0,1.0,341.94,0
143,233.74,0.0,28.0,2.0,66.0,2.0,17.0,1.0,1066.59,0
144,113.02,0.0,17.0,1.0,69.0,2.0,166.0,1.0,6077.96,1
145,45.85,1.0,20.0,0.0,20.0,3.0,92.0,1.0,1659.15,0
147,514.95,1.0,27.0,2.0,41.0,0.0,142.0,5.0,421.93,0
148,415.5,1.0,22.0,0.0,66.0,0.0,141.0,1.0,10113.66,2
149,265.76,1.0,30.0,2.0,54.0,2.0,92.0,1.0,4446.17,1
150,69.4,1.0,41.0,2.0,80.0,2.0,113.0,1.0,6452.77,1
151,332.93,0.0,0.0,1.0,35.0,1.0,293.0,1.0,2788.2,0
152,267.9,1.0,35.0,2.0,20.0,3.0,160.0,1.0,596.16,0
153,496.03,1.0,37.0,1.0,61.0,0.0,265.0,1.0,12904.66,2
154,376.26,1.0,40.0,0.0,37.0,1.0,245.0,1.0,9062.4,1
155,83.02,0.0,39.0,2.0,36.0,1.0,171.0,1.0,9009.56,1
156,93.26,0.0,27.0,2.0,20.0,3.0,72.0,1.0,1152.2,0
157,803.37,0.0,22.0,1.0,68.0,0.0,129.0,1.0,12168.37,2
158,35.76,1.0,5.0,1.0,23.0,3.0,122.0,1.0,611.86,0
159,28.53,1.0,42.0,2.0,62.0,0.0,99.0,1.0,8670.53,1
160,139.53,0.0,21.0,2.0,53.0,0.0,177.0,1.0,10098.86,2
161,307.57,1.0,11.0,1.0,33.0,0.0,285.0,1.0,5307.74,1
162,60.65,0.0,40.0,1.0,56.0,2.0,53.0,1.0,1047.28,0
163,74.86,1.0,26.0,1.0,70.0,0.0,125.0,1.0,6921.48,1
164,117.97,1.0,18.0,1.0,51.0,2.0,137.0,1.0,1475.46,0
165,231.91,1.0,22.0,0.0,34.0,1.0,165.0,1.0,112.76,0
166,126.21,1.0,3.0,1.0,75.0,2.0,268.0,1.0,5669.66,1
167,506.28,0.0,6.0,2.0,53.0,2.0,162.0,2.0,1309.95,0
168,304.35,1.0,15.0,1.0,31.0,1.0,36.0,1.0,4057.1,1
169,281.85,1.0,11.0,0.0,22.0,3.0,109.0,1.0,1585.98,0
170,777.88,1.0,15.0,1.0,31.0,1.0,17.0,1.0,6825.55,1
171,119.18,1.0,20.0,1.0,56.0,2.0,96.0,1.0,5516.5,1
172,177.19,1.0,6.0,2.0,76.0,2.0,43.0,1.0,5343.3,1
173,260.88,1.0,10.0,1.0,22.0,3.0,36.0,1.0,903.05,0
174,169.47,1.0,6.0,2.0,24.0,3.0,19.0,1.0,1806.16,0
175,73.23,1.0,32.0,1.0,26.0,3.0,14.0,1.0,787.74,0
177,792.57,1.0,3.0,0.0,19.0,3.0,164.0,1.0,770.37,0
178,237.06,1.0,31.0,2.0,71.0,2.0,46.0,1.0,1182.77,0
179,34.17,0.0,30.0,2.0,54.0,1.0,54.0,1.0,726.55,0
180,740.25,1.0,30.0,2.0,41.0,0.0,123.0,1.0,14464.3,2
181,453.54,1.0,0.0,0.0,58.0,0.0,82.0,1.0,12046.3,2
182,300.47,1.0,17.0,1.0,73.0,2.0,100.0,1.0,7885.64,1
183,110.93,0.0,41.0,1.0,19.0,3.0,201.0,1.0,1952.35,0
184,201.69,1.0,19.0,0.0,59.0,0.0,299.0,1.0,7328.52,1
185,399.21,1.0,32.0,0.0,59.0,1.0,109.0,1.0,3210.39,0
187,630.36,1.0,23.0,0.0,62.0,2.0,52.0,1.0,1363.65,0
188,10.94,0.0,30.0,0.0,60.0,1.0,245.0,1.0,1241.99,0
189,215.9,1.0,20.0,0.0,38.0,0.0,235.0,1.0,7873.28,1
191,226.37,0.0,21.0,1.0,49.0,0.0,141.0,1.0,9840.04,2
192,444.89,0.0,19.0,1.0,43.0,0.0,101.0,1.0,10328.23,2
193,280.57,0.0,41.0,2.0,25.0,3.0,24.0,1.0,293.24,0
194,488.54,1.0,17.0,1.0,52.0,1.0,132.0,1.0,7486.63,1
195,3.3,0.0,20.0,1.0,50.0,0.0,131.0,1.0,11385.37,2
196,199.39,1.0,7.0,1.0,69.0,2.0,165.0,1.0,7264.79,1
197,20.36,1.0,40.0,1.0,62.0,2.0,75.0,1.0,2762.48,0
198,113.64,1.0,11.0,2.0,62.0,2.0,32.0,1.0,6675.03,1
199,493.11,1.0,7.0,1.0,53.0,2.0,236.0,1.0,7432.99,1
200,307.41,1.0,20.0,0.0,19.0,3.0,14.0,1.0,1057.0,0
201,11.18,1.0,1.0,2.0,43.0,0.0,161.0,1.0,5956.89,1
202,313.82,1.0,40.0,1.0,59.0,1.0,151.0,1.0,7261.59,1
203,51.0,1.0,39.0,1.0,64.0,2.0,107.0,1.0,4943.16,1
204,140.98,1.0,22.0,1.0,60.0,1.0,100.0,1.0,8127.48,1
205,288.04,1.0,10.0,0.0,68.0,2.0,63.0,1.0,1748.02,0
206,800.55,1.0,28.0,0.0,31.0,1.0,108.0,1.0,9660.22,2
207,485.54,1.0,15.0,0.0,46.0,1.0,143.0,1.0,6371.51,1
208,521.15,1.0,18.0,0.0,54.0,0.0,214.0,1.0,9442.47,2
209,321.79,0.0,33.0,0.0,63.0,2.0,61.0,1.0,5959.2,1
210,304.93,1.0,32.0,0.0,65.0,0.0,158.0,1.0,13531.22,2
211,432.08,1.0,12.0,0.0,40.0,0.0,145.0,1.0,11500.62,2
212,694.2,1.0,25.0,0.0,61.0,2.0,72.0,1.0,1389.37,0
213,116.86,1.0,21.0,0.0,55.0,1.0,171.0,1.0,6706.56,1
214,386.81,0.0,11.0,2.0,57.0,0.0,149.0,1.0,7175.29,1
215,74.88,1.0,1.0,0.0,25.0,3.0,202.0,1.0,420.67,0
216,195.76,1.0,30.0,1.0,75.0,2.0,99.0,1.0,7323.53,1
217,134.7,1.0,13.0,0.0,50.0,0.0,106.0,1.0,8395.85,1
218,890.24,0.0,19.0,2.0,33.0,1.0,161.0,1.0,5140.93,1
219,361.27,1.0,29.0,0.0,63.0,0.0,180.0,1.0,7945.57,1
220,131.56,1.0,5.0,1.0,44.0,0.0,42.0,1.0,5873.54,1
221,485.51,0.0,25.0,2.0,76.0,2.0,37.0,1.0,3074.45,0
222,547.87,1.0,8.0,0.0,64.0,2.0,131.0,1.0,6155.76,1
223,457.3,1.0,41.0,2.0,28.0,1.0,15.0,1.0,8318.29,1
224,506.24,1.0,6.0,0.0,58.0,1.0,64.0,1.0,230.09,0
225,486.59,1.0,16.0,1.0,57.0,2.0,119.0,1.0,2513.56,0
226,163.68,1.0,36.0,1.0,41.0,0.0,292.0,1.0,10090.05,2
227,581.65,1.0,4.0,0.0,22.0,3.0,176.0,1.0,480.19,0
228,52.01,1.0,23.0,0.0,48.0,0.0,85.0,1.0,1120.88,0
229,630.24,1.0,4.0,0.0,21.0,3.0,62.0,1.0,370.81,0
230,523.74,1.0,28.0,0.0,43.0,0.0,159.0,1.0,13498.55,2
231,705.6,1.0,31.0,1.0,40.0,0.0,124.0,3.0,14804.7,2
232,217.5,0.0,10.0,1.0,46.0,1.0,35.0,1.0,3057.4,0
233,91.48,1.0,13.0,0.0,51.0,0.0,141.0,1.0,14942.78,2
234,5.25,1.0,38.0,0.0,39.0,0.0,49.0,1.0,14143.32,2
235,54.03,0.0,25.0,0.0,56.0,2.0,161.0,1.0,6736.3,1
236,736.73,1.0,22.0,1.0,48.0,1.0,10.0,1.0,3313.07,0
237,368.91,1.0,41.0,1.0,54.0,0.0,14.0,1.0,829.71,0
238,33.06,0.0,13.0,2.0,53.0,2.0,170.0,1.0,1540.87,0
239,66.5,0.0,21.0,2.0,32.0,1.0,144.0,1.0,6820.23,1
240,177.08,1.0,19.0,2.0,35.0,0.0,85.0,1.0,13475.14,2
241,588.54,1.0,32.0,1.0,32.0,1.0,130.0,1.0,714.45,0
242,173.5,1.0,26.0,0.0,21.0,3.0,282.0,1.0,1306.91,0
243,78.33,0.0,22.0,2.0,56.0,1.0,189.0,1.0,7255.33,1
244,40.66,1.0,21.0,1.0,59.0,2.0,156.0,1.0,1153.84,0
245,97.22,0.0,1.0,1.0,77.0,2.0,55.0,1.0,6647.73,1
246,34.07,1.0,30.0,1.0,22.0,3.0,81.0,1.0,8709.77,1
247,492.06,1.0,14.0,2.0,23.0,3.0,74.0,1.0,857.9,0
248,842.01,0.0,41.0,2.0,53.0,0.0,185.0,1.0,509.45,0
249,73.55,1.0,1.0,0.0,51.0,1.0,158.0,1.0,2812.06,0
250,760.53,1.0,31.0,2.0,57.0,1.0,118.0,1.0,6179.91,1
251,273.08,0.0,15.0,1.0,26.0,1.0,134.0,1.0,6609.3,1
252,371.69,1.0,37.0,1.0,67.0,2.0,143.0,1.0,3484.32,0
253,218.96,1.0,39.0,0.0,18.0,3.0,13.0,1.0,754.21,0
254,227.39,1.0,1.0,2.0,18.0,3.0,65.0,1.0,751.09,0
255,237.99,0.0,18.0,1.0,39.0,0.0,86.0,1.0,8510.09,1
256,186.6,1.0,42.0,2.0,58.0,0.0,13.0,1.0,1508.72,0
257,341.15,1.0,38.0,2.0,18.0,3.0,148.0,1.0,511.37,0
258,434.58,1.0,22.0,0.0,59.0,0.0,215.0,1.0,12648.32,2
259,312.88,0.0,32.0,1.0,54.0,1.0,44.0,1.0,233.21,0
260,75.15,1.0,4.0,0.0,23.0,3.0,154.0,1.0,1092.92,0
261,23.3,1.0,20.0,0.0,59.0,1.0,161.0,1.0,6711.15,1
262,47.38,0.0,39.0,2.0,25.0,3.0,61.0,1.0,459.37,0
263,512.81,1.0,34.0,1.0,79.0,2.0,30.0,1.0,6994.34,1
264,488.15,1.0,21.0,1.0,43.0,1.0,168.0,1.0,7071.09,1
265,12.82,1.0,13.0,0.0,44.0,1.0,156.0,1.0,9045.19,1
266,66.9,0.0,5.0,2.0,79.0,2.0,129.0,4.0,5238.71,1
267,535.91,1.0,19.0,2.0,43.0,1.0,22.0,1.0,9642.12,2
268,270.72,0.0,42.0,2.0,26.0,1.0,53.0,1.0,6263.96,1
269,97.98,1.0,10.0,1.0,72.0,2.0,18.0,1.0,7460.33,1
270,196.08,1.0,37.0,2.0,61.0,2.0,98.0,1.0,4233.82,1
271,251.18,1.0,38.0,0.0,42.0,1.0,246.0,1.0,8303.9,1
272,44.52,1.0,12.0,2.0,28.0,3.0,205.0,1.0,314.28,0
273,178.87,1.0,3.0,2.0,35.0,0.0,180.0,1.0,5241.23,1
275,386.68,1.0,27.0,1.0,46.0,0.0,128.0,1.0,6863.06,1
276,167.14,1.0,10.0,2.0,76.0,2.0,20.0,1.0,3877.73,0
277,345.22,1.0,14.0,1.0,69.0,2.0,253.0,1.0,4046.58,0
278,74.85,1.0,33.0,0.0,72.0,2.0,117.0,1.0,2409.73,0
279,671.73,1.0,42.0,1.0,58.0,1.0,54.0,1.0,5211.88,1
280,255.04,1.0,39.0,0.0,45.0,1.0,152.0,1.0,6217.86,1
281,45.77,1.0,30.0,2.0,25.0,3.0,109.0,1.0,5978.12,1
282,329.69,0.0,35.0,2.0,26.0,3.0,66.0,1.0,1671.66,0
283,362.04,0.0,30.0,1.0,58.0,0.0,198.0,2.0,8421.88,1
284,11.92,1.0,36.0,1.0,53.0,0.0,52.0,1.0,14611.9,2
285,47.42,1.0,36.0,0.0,64.0,0.0,28.0,1.0,8253.52,1
286,35.99,1.0,24.0,1.0,63.0,2.0,129.0,1.0,4489.79,1
287,151.19,0.0,27.0,1.0,37.0,0.0,96.0,1.0,11903.82,2
288,242.62,0.0,37.0,2.0,22.0,3.0,234.0,1.0,483.02,0
289,48.72,1.0,41.0,1.0,21.0,3.0,17.0,1.0,816.08,0
290,43.46,1.0,4.0,0.0,25.0,3.0,80.0,1.0,578.06,0
292,443.79,1.0,19.0,0.0,53.0,2.0,87.0,1.0,3133.85,0
293,365.14,1.0,9.0,2.0,68.0,2.0,57.0,1.0,5894.09,1
294,757.41,1.0,20.0,0.0,22.0,3.0,37.0,1.0,9532.42,2
295,20.54,1.0,13.0,1.0,51.0,1.0,72.0,1.0,5327.03,1
296,475.36,1.0,31.0,0.0,34.0,1.0,105.0,1.0,2000.6,0
297,34.74,1.0,37.0,0.0,56.0,2.0,24.0,1.0,6827.57,1
298,689.54,1.0,28.0,1.0,27.0,3.0,93.0,1.0,1633.76,0
299,211.18,1.0,42.0,0.0,73.0,2.0,90.0,1.0,4069.17,1
300,211.36,0.0,13.0,1.0,51.0,1.0,286.0,1.0,7943.47,1
301,744.41,0.0,15.0,2.0,39.0,1.0,107.0,1.0,8842.47,1
302,61.43,1.0,31.0,2.0,24.0,3.0,170.0,1.0,1882.77,0
303,167.44,1.0,23.0,1.0,37.0,0.0,82.0,1.0,12526.71,2
304,361.46,1.0,26.0,2.0,21.0,3.0,83.0,1.0,4737.84,1
305,378.85,1.0,41.0,1.0,78.0,2.0,126.0,1.0,2300.53,0
306,241.11,1.0,8.0,1.0,30.0,0.0,55.0,1.0,12385.05,2
307,131.93,0.0,13.0,1.0,31.0,1.0,13.0,1.0,4547.06,1
308,20.28,1.0,28.0,2.0,36.0,1.0,213.0,1.0,2047.83,0
309,415.88,1.0,36.0,1.0,70.0,0.0,170.0,1.0,10008.33,2
310,49.99,1.0,29.0,0.0,62.0,2.0,139.0,1.0,2299.64,0
312,100.66,1.0,9.0,1.0,50.0,0.0,144.0,1.0,14473.33,2
313,485.54,1.0,21.0,2.0,19.0,3.0,148.0,1.0,1533.32,0
314,321.15,1.0,20.0,1.0,46.0,0.0,179.0,1.0,7005.05,1
315,711.3,1.0,38.0,1.0,21.0,3.0,51.0,1.0,955.4,0
316,12.23,1.0,15.0,0.0,42.0,1.0,139.0,1.0,7844.88,1
317,350.94,1.0,7.0,0.0,20.0,3.0,64.0,1.0,221.56,0
318,301.85,1.0,8.0,2.0,54.0,1.0,25.0,1.0,6586.19,1
319,29.34,1.0,21.0,2.0,65.0,2.0,30.0,1.0,3944.82,0
320,231.71,1.0,33.0,1.0,27.0,3.0,148.0,1.0,1127.98,0
321,179.43,1.0,28.0,0.0,58.0,2.0,244.0,1.0,2626.63,0
322,36.71,1.0,17.0,1.0,48.0,0.0,55.0,1.0,6459.38,1
323,138.12,0.0,20.0,1.0,53.0,0.0,281.0,1.0,1649.69,0
324,233.24,1.0,21.0,0.0,33.0,1.0,72.0,1.0,6939.23,1
325,609.14,1.0,40.0,0.0,39.0,1.0,177.0,1.0,9033.87,1
326,436.64,1.0,20.0,1.0,31.0,0.0,111.0,1.0,14365.18,2
327,870.43,1.0,20.0,1.0,29.0,0.0,55.0,1.0,10115.18,2
328,354.4,1.0,6.0,0.0,74.0,2.0,128.0,1.0,7358.65,1
329,22.63,1.0,18.0,2.0,53.0,1.0,112.0,1.0,4438.03,1
330,182.19,1.0,23.0,1.0,26.0,3.0,53.0,1.0,1176.1,0
331,126.81,1.0,30.0,1.0,26.0,1.0,290.0,1.0,5427.98,1
332,288.17,1.0,41.0,2.0,37.0,1.0,50.0,1.0,3653.11,0
333,118.77,1.0,1.0,1.0,55.0,1.0,123.0,1.0,2104.82,0
334,651.82,1.0,16.0,0.0,21.0,3.0,166.0,1.0,1802.77,0
335,66.65,1.0,11.0,0.0,37.0,1.0,33.0,1.0,3559.96,0
336,98.53,1.0,10.0,1.0,69.0,2.0,166.0,1.0,3564.8,0
337,138.95,1.0,42.0,2.0,71.0,2.0,30.0,1.0,6752.92,1
338,33.89,1.0,26.0,1.0,26.0,3.0,177.0,1.0,1444.75,0
339,23.71,1.0,1.0,1.0,58.0,0.0,164.0,1.0,10788.89,2
341,26.06,1.0,36.0,0.0,65.0,0.0,283.0,1.0,12893.63,2
342,17.07,1.0,20.0,1.0,27.0,1.0,44.0,1.0,2798.15,0
343,703.89,1.0,35.0,2.0,46.0,1.0,62.0,1.0,3583.67,0
345,26.55,1.0,15.0,0.0,77.0,2.0,228.0,1.0,3085.38,0
346,147.4,1.0,38.0,1.0,42.0,1.0,259.0,1.0,6797.71,1
347,202.11,1.0,22.0,0.0,27.0,3.0,18.0,1.0,746.47,0
348,308.42,1.0,26.0,1.0,75.0,2.0,39.0,1.0,5427.81,1
349,11.18,1.0,24.0,0.0,53.0,1.0,144.0,1.0,7467.3,1
350,294.15,1.0,14.0,2.0,38.0,1.0,136.0,1.0,6362.16,1
351,29.58,1.0,7.0,1.0,54.0,1.0,121.0,1.0,8345.26,1
352,139.45,1.0,4.0,2.0,27.0,3.0,31.0,1.0,1305.76,0
353,432.63,1.0,7.0,0.0,29.0,0.0,137.0,1.0,13648.36,2
354,131.43,1.0,5.0,2.0,43.0,0.0,65.0,1.0,1337.5,0
